#Processes,I/O Time,Kmeans Time,Total Time
2, 71.945194, 249.850828, 321.558315 
3, 88.171353, 174.303737, 259.116184 
4, 86.843628, 127.175744, 212.279407 
5, 72.946648, 89.996494, 161.634960 
6, 79.369842, 79.929637, 155.973219 
7, 74.036141, 74.052168, 145.780939 
8, 73.605089, 64.864910, 136.252825 
9, 80.956023, 56.220303, 130.539245 
10, 73.540224, 52.539738, 125.662135 
