#Processes,I/O Time,Kmeans Time,Total Time
2, 73.799231, 153.897106, 222.525147 
3, 69.604728, 106.382791, 175.865275
4, 71.761497, 84.394566, 153.895707 
5, 73.423474, 67.157646, 138.499820 
6, 72.261617, 57.367488, 129.118476 
7, 72.682202, 49.814638, 121.148498 
8, 73.245170, 44.295228, 115.667133 
9, 73.155874, 37.060812, 111.461415 
10, 73.603550, 37.085592, 109.516065
