#Processes,I/O Time,Kmeans Time,Total Time
2, 83.418744, 108.763140, 192.181883 
3, 83.300081, 71.789284, 155.089365 
4, 81.754487, 45.890000, 127.644488 
5, 82.742198, 39.618571, 122.360770 
6, 83.960872, 35.928344, 119.889217 
7, 82.972434, 33.154449, 116.126882 
8, 82.870252, 31.055912, 113.926163 
9, 82.199207, 27.601151, 109.800358 
10, 78.897563, 24.185499, 103.083061 
