#Processes,#Threads,I/O Time,Kmeans Time,Total Time
2, 2, 88.473788, 163.639292, 249.845551 
3, 2, 92.054230, 113.522274, 198.817961 
4, 2, 84.163723, 85.377651, 169.423794 
5, 2, 88.628223, 79.174711, 161.543596 
6, 2, 87.759776, 64.689099, 149.112439 
7, 2, 88.413665, 54.033952, 139.686653 
8, 2, 86.241733, 43.282073, 128.643584 
9, 2, 85.597103, 39.593586, 121.898700 
10, 2, 84.533671, 30.521725, 110.081544
