#Processes,I/O Time,Kmeans Time,Total Time
2, 82.821276, 86.938366, 169.724428 
3, 74.848047, 61.059661, 135.878042 
4, 81.514405, 47.864375, 125.634249 
5, 73.264756, 35.404406, 108.490876 
6, 74.925344, 32.552860, 106.111852 
7, 79.275450, 26.681011, 104.302287 
8, 80.182456, 24.552312, 102.889795
9, 74.308482, 20.233004, 92.826931
10, 75.060153, 17.947779, 92.657731
