#Processes,I/O Time,Kmeans Time,Total Time
2, 80.889706, 66.698806, 147.588512 
3, 80.419470, 44.020237, 124.439708 
4, 80.867320, 33.619697, 114.487017 
5, 67.934656, 36.420960, 104.355616 
6, 73.390624, 26.288296, 99.678920 
7, 73.586025, 21.522193, 95.108218 
8, 69.320096, 23.044209, 92.364305
9, 72.507851, 18.813169, 91.321020
10, 74.944337, 16.120664, 91.065001
