#Processes,#Threads,I/O Time,Kmeans Time,Total Time
2, 2, 81.893698, 121.116906, 203.010604 
3, 2, 81.832764, 75.397175, 156.875734 
4, 2, 81.637284, 62.369929, 142.671936
5, 2, 84.659124, 55.171773, 135.495737 
6, 2, 83.187872, 50.183735, 130.816076 
7, 2, 92.149179, 34.870452, 124.094009 
8, 2, 90.438333, 30.732081, 118.724870 
9, 2, 89.202817, 25.498952, 110.616547 
10, 2, 82.762968, 20.421756, 103.173327 
